"Table Rates", "Tabel de Preturi"
"Table Rates", "Tabel de Preturi"
"Save", "Salvare"
"Delete", "Stergere"
"Duplicate", "Duplicate"
"Save And Continue Edit", "Galveaza si continua editarea"
"Weight (and above)", "Weight (and above)"
"Price (and above)", "Price (and above)"
"Shipping Price", "Pretul Expeditiei"
"Shipping Percentage", "Procentajul Expeditiei"
"Fixed Cash On Delivery Surcharge Amount", "Taxa numerar fixa a platei la livrare "
"Minimum COD Surcharge", "Taxa minima a platei la livrare"
"Edit Rate", "Modifica Regula"
"Export", "Export"
"Website", "Website"
"Dest Country", "Dest Tara"
"Dest Zip/Postal Code", "Dest Zip/Postal Code"
"* or blank - matches any", "* sau gol - pentru toate valorile"
"For rates with this service to be available  you must enable the service from the configuration panel of the shipping method in System->Configuration->Shipping Methods", "Pentru preturi acest serviciu pentru a fi disponibil, trebuie să activați serviciul din panoul de configurare a metodei de expediere System->Configuration->Shipping Methods"
"For rates with this product to be available, you must enable the product from the configuration panel of the shipping method in System->Configuration->Shipping Methods", "Pentru preturi acest serviciu pentru a fi disponibil, trebuie să activați serviciul din panoul de configurare a metodei de expediere System->Configuration->Shipping Methods"
"Condition", "Conditie"
"Price vs. Destination", "Pret vs. Destinatie"
"Weight vs. Destination", "Greutate vs. Destinatie"
"Enable Shipping Method", "Activeaza Metoda Livrare"
"Disabled", "Inactiv"
"Enabled", "Activ"
"Disable the shipping method if you would like it to be unavailable for orders whose price or weight is greater or equal to the value you have indicated.", "Dezactiveaza metoda de plata pentru comenzi care au pretul sau greutatea mai mare decat valoarea selectata anterior."
"Shipping Price Calculation", "Calcularea pretului de livrare"
"Fixed Price", "Pret fix"
"Add Percentage", "Adaos procentual"
"Use 'Add Percentage' if you want to calculate the shipping price by adding a percentage to price charged by the shipping carrier.", "Folositi o valoare fixa de taxare,  un adaos procentual fata de valoarea returnata de DPD sau un adaos absolut fata de valoarea returnata de serviciul DPD."
"Shipping Price", "Pret livrare"
"Cash On Delivery Surcharge Calculation", "Taxa plata la livrare"
"Cash On Delivery Not Available", "Plata la livrare dezactivata"
"Zero Surcharge", "Pret zero"
"Fixed Surcharge", "Taxa valoare fixa"
"Percentage Surcharge", "Adaos porcentual"
"Fixed Cash On Delivery Surcharge", "Taxa fixa pentru plata la livrare"
"Minimum COD Surcharge", "Taxa minima pentru plata la livrare"
"Optionally specify the minimum COD surcharge.", "Taxa minima specificata optionala pentru plata la livrare"
"Dest Region/State", "Dest Judet"
"Import Rates", "Import preturi"
"Are you sure?", "Esti sigur?"
"Import", "Import"
"Promotion", "Promotion"
"Import Rates", "Importa Reguli"
"Export Rates", "Exporta Reguli"
"Rate duplicated successfully", "Tarifele dublate cu succes"
"Rate was successfully saved", "Tariful au fost salvate cu succes"
"The rate could not be saved because it duplicates the destination service/product and weight/price of an existing rate. Change some of the rate's values and try saving again.", "Tariful nu a putut fi salvata, întrucât este duplicat destinația serviciului / produs și greutate / prețul unei tari existente. Schimbati câteva dintre valorile tarifale și încercați să salvați din nou. "
"Unable to find rate to save", "Imposibil de a găsi tariful pentru a salva"
"Rate was successfully deleted", "Tariful a fost sters cu succes"
"Total of %d record(s) have been deleted.", "Numărul total de înregistrări care au fost șterse: %d."
"An error occurred while updating records.", "A apărut o eroare în timp ce se  actualizau inregistrarile"
"Please specify the website and file you wish to import", "Vă rugăm să specificați site-ul și fișierul pe care doriți să-l importați"
"An error occurred whilst importing the tablerates: %s", "A apărut o eroare în timp ce se importa tabela de preturi"
"Table rates imported successfully", "Tabelul de preturi a fost importat cu succes"
"Please specify the website whose rates you want to export", "Vă rugăm să specificați site-ul, unde doriti sa exportati aceste tarife"
"Add Rate", "Adauga Regula"
"Cash On Delivery Surcharge Percentage", "Taxa procentuala COD - din valoarea comenzii"
"Enter the starting weight in kg for this rate.", "Introdu greutatea minima in KG pentru care aceasta regula este activa."
"Enter the starting price for this rate in the base currency of website. This rate will apply to orders whose subtotal (excluding shipping) is greater or equal to this price. Only include the sales tax/VAT in this price if you have configured shipping prices to include it (see System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices).", "Introduceți prețul de pornire pentru această tabela de preturi în moneda de baza a site-ului. Această rată se va aplica la comenzi ale căror subtotal (cu excepția de expediere) este mai mare sau egal cu acest preț. Includ numai pentru vânzările de impozitare / TVA în acest preț dacă ați configurat prețurile de livrare să-l includă (a se vedea System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices)."
"Add Rule", "Adauga Regula"
"Import", "Importa"
"Export", "Exporta"
"New Rate", "Regula noua"
"Condition", "Conditie"
"Add fixed amount to price","Adaos valoare fixa la valoare DPD"
